Year,Geo Level,State,County,Data Item,Value
2005,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","43,334,400"
2005,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","2,900"
2005,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,776,000"
2005,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","6,500"
2004,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,537,500"
2004,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","5,100"
2004,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","32,292,000"
2004,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","2,900"
2004,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","13,092,400"
2004,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","3,700"
2004,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,256,000"
2004,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","4,000"
2004,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","28,381,500"
2004,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","5,100"
2004,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,000,800"
2004,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","4,600"
2004,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","14,314,300"
2004,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","6,100"
2004,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","40,321,800"
2004,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","4,300"
2004,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","20,192,400"
2004,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","5,700"
2003,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,446,100"
2003,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","6,200"
2003,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,691,200"
2003,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","1,900"
2003,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","12,212,000"
2003,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","6,300"
2003,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","23,842,000"
2003,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","4,800"
2003,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","23,688,000"
2003,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","8,400"
2003,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,014,500"
2003,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","6,800"
2003,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","12,718,200"
2003,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","5,100"
2003,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","34,458,400"
2003,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","4,900"
2003,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,490,800"
2003,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","6,900"
2002,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","25,794,400"
2002,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","5,900"
2002,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","27,135,000"
2002,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","2,600"
2002,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","11,564,800"
2002,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","7,200"
2002,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,086,500"
2002,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","5,900"
2002,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,438,700"
2002,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","8,600"
2002,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,705,000"
2002,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","9,200"
2002,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","12,756,800"
2002,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","7,300"
2002,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","35,231,500"
2002,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","4,000"
2002,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,414,500"
2002,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","7,900"
2001,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,976,400"
2001,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","5,400"
2001,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","20,414,000"
2001,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","2,300"
2001,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","11,119,800"
2001,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","6,300"
2001,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","21,918,400"
2001,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","5,800"
2001,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","20,345,400"
2001,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","8,400"
2001,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","20,135,400"
2001,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","6,600"
2001,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","11,974,500"
2001,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","8,000"
2001,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,132,000"
2001,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","4,900"
